i j S OS WN ST sp hpcd hpcdp ppcd ppcdp
Altai Pre-Polar Ural 0.591836734693878 0.212121212121212 0.818181818181818 0.606060606060606 2764.0404850739 0.937211612774424 1.48800631633331 0.770347569931529 1.14134422667017
Altai Scotland 0.644444444444444 0.375 0.91869918699187 0.54369918699187 9863.78733562123 0.532290439146631 0.748540665402809 0.574776082390033 0.884314031150324
Altai Selenga 0.735849056603774 0.25 0.91304347826087 0.66304347826087 2459.44183938533 1.03999064781756 1.26420710081452 0.74610443559611 0.972665416649075
Altai Slovakia 0.657142857142857 0.2 0.818181818181818 0.618181818181818 7122.83371374576 0.712707991574107 0.995925974451696 0.794542129993023 1.01687298765404
Altai Southwestern Azerbajan 0.903225806451613 1 1 0 4195.54314783053 1.39529880193782 1.40484202543355 1.10554924441119 1.11553613912131
Altai Sweden 0.673469387755102 0.368421052631579 0.912408759124088 0.543987706492509 7512.31138550339 0.587844658546735 0.747934585234788 0.773036071519765 1.22617347604477
Altai Taimyr 0.622641509433962 0.3 0.911392405063291 0.611392405063291 201.263693447242 0.647678246258237 1.07292153925607 0.91764231392514 1.10863128332745
Altai Tarbagatai 0.670588235294118 0.448275862068966 0.833333333333333 0.385057471264368 170.189131604495 1.30106717571566 1.6735686988692 0.879993615349633 1.15886795871695
Altai Terskey-Alatau 0.8 1 1 0 587.335224273668 1.16768811924718 1.11235964637927 0.768398552825353 1.04778999661063
Altai Tomsk-Tumen 0.317647058823529 0.375796178343949 0.678688524590164 0.302892346246215 1124.5553469793 0.260747304082057 1.03609341985663 0.560924748574166 1.07951859072796
Altai Trans-Ili Alatau 0.745454545454545 0.384615384615385 0.951515151515151 0.566899766899767 853.866746806346 0.652029225850627 0.685604793106762 0.72186713830781 1.13550287739671
Altai Ural Valley 0.586206896551724 0.315789473684211 0.854748603351955 0.538959129667745 3585.07405096593 0.58701416745423 0.940397206930808 0.888857635120925 1.29007207334787
Altai Ussury 0.821428571428571 0.2 0.972789115646258 0.772789115646259 5539.91293424571 0.885185526671454 1.05011866762902 0.697999286339276 0.765813038142157
Altai Volga-Kama 0.553191489361702 0.245614035087719 0.74251497005988 0.496900934972161 3661.45667469559 0.644788335524034 1.16459140390667 0.727092914655781 0.991920252676749
Altai Western Sayan 0.549295774647887 0.3 0.73953488372093 0.43953488372093 1084.5612340718 0.795006124698511 1.23455909777562 0.639816300224525 1.1017324584354
Amur Amur-Bureya 0.446808510638298 0.185185185185185 0.572815533980582 0.387630348795397 903.301639747913 0.0888235428193486 0.364347810628127 0.640208034904297 1.11455187431577
Amur-Bureya Central Yakutia 0.555555555555556 0.272727272727273 0.829787234042553 0.55705996131528 1096.92350521908 0.461003948617201 0.926906404362565 0.65742845541208 1.01696520961847
Amur-Bureya Kamchatka 0.666666666666667 0.0909090909090908 0.841269841269841 0.75036075036075 2590.12817779461 0.923295489599442 1.48541202734456 0.614991518468305 0.839559849950808
Amur-Bureya Khabarovsk 0.446808510638298 0.185185185185185 0.572815533980582 0.387630348795397 211.037826717616 0.0888235428193487 0.364347810628127 0.640208034904297 1.11455187431577
Amur-Bureya Khasan 0.764705882352941 0.333333333333333 0.971428571428572 0.638095238095238 825.588924996844 0.581630457794601 0.830385632925763 0.455383119936501 0.527701414864086
Amur-Bureya Kostroma 0.821428571428571 0.5 0.98876404494382 0.48876404494382 10245.5455891994 0.841838570623393 1.06621290039698 0.659782791327825 0.689177992112187
Amur-Bureya Krasnojarsk 0.617021276595745 0.478260869565217 0.862068965517241 0.383808095952024 4262.24980608576 0.653041749443803 1.22108013067488 0.51841410114506 0.708920746443895
Amur-Bureya Kurgan 0.924528301886792 0 0.987179487179487 0.987179487179487 7881.50118697486 1.02588552039875 1.03315271416781 0.67759343018817 0.673815905838689
Amur-Bureya Middle Ural 0.891891891891892 0 0.978260869565217 0.978260869565217 8037.32054192596 1.05796536905734 1.13041163990188 0.466932935566717 0.491148712969663
Amur-Bureya Mongolia-NorthWestern Khangay 0.871794871794872 0.6 0.987341772151899 0.387341772151899 4368.19575671927 0.899159085020867 1.08454464669981 1.72571509049561 1.68791943893672
Amur-Bureya North Russian Far East 0.551020408163265 0.1875 0.745098039215686 0.557598039215686 3201.52303409733 0.760627181250393 1.13392926893336 0.619902064799145 1.15556656678586
Amur-Bureya Novosibirsk 0.736842105263158 0.4 0.946666666666667 0.546666666666667 6214.77012091851 0.881497444283241 1.16627873732741 0.620830017826242 0.731635260606134
Amur-Bureya Pre-Polar Ural 0.783783783783784 1 1 0 8362.68869284505 1.04010429400328 1.55585848937681 0.571485454233146 0.601123467520719
Amur-Bureya Selenga 0.804878048780488 0.2 0.950617283950617 0.750617283950617 3228.71858741249 0.656039484941784 1.02592767939014 0.733211903397575 0.743941833691198
Amur-Bureya Taimyr 0.75609756097561 0.0909090909090908 0.900990099009901 0.81008100810081 5543.61208812803 1.08894682311869 1.30107932112883 0.444389577784076 0.568079072891839
Amur-Bureya Tomsk-Tumen 0.671232876712329 0.517241379310345 0.943548387096774 0.426307007786429 6790.19687603529 0.900417701368204 1.26369666878723 0.512747245027078 0.678012120389012
Amur-Bureya Ussury 0.590909090909091 0.5 0.911111111111111 0.411111111111111 364.56318322567 0.538536591244246 0.768861125102839 0.708220210509181 1.16424493142241
Amur-Bureya Volga-Kama 0.878048780487805 0.6 0.992779783393502 0.392779783393502 9343.21231210265 1.0103679142339 1.11414832573136 0.856484222339778 0.847938370897364
Amur-Bureya Western Sayan 0.559322033898305 0.210526315789474 0.810126582278481 0.599600266489007 4603.85796578533 0.503872800889668 1.16494558718087 0.6369714115363 0.909657319226182
Amur Central Yakutia 0.653846153846154 0.111111111111111 0.831578947368421 0.72046783625731 615.674097535334 0.507125857414346 0.837176777012526 0.654516059583212 0.868922258463567
Amur Kamchatka 0.513513513513514 0.12 0.65625 0.53625 3458.97255635623 0.892652248605903 1.55365755005292 0.64864824614041 1.23084959877375
Amur Khabarovsk 0.037037037037037 0 0.0576923076923077 0.0576923076923077 929.05593672771 -2.89152965344255e-17 -Inf 0.0163933207556967 0.308994104390302
Amur Khasan 0.707317073170732 0.666666666666667 0.971830985915493 0.305164319248826 837.696694607412 0.543972971390351 0.816280574542073 0.599749781275633 0.767573334262296
Amur Kostroma 0.777777777777778 0.4 0.966480446927374 0.566480446927374 9371.87744926278 0.848222617139536 0.973579775919516 1.12861199466559 1.3295599839597
Amur Krasnojarsk 0.592592592592593 0.357142857142857 0.795454545454545 0.438311688311688 3370.82210193352 0.60777432462931 1.22487694467796 0.57172304356652 0.807551826805471
Amur Kurgan 0.833333333333333 0.333333333333333 0.974522292993631 0.641188959660297 6997.64330491742 0.964432328558922 0.984358616339065 0.705893736927341 0.812179525609409
Amur Middle Ural 0.863636363636364 0.333333333333333 0.978494623655914 0.645161290322581 7155.86698554112 1.0092948354503 1.09527417934753 0.805622420824664 0.881704616274252
Amur Mongolia-NorthWestern Khangay 0.835294117647059 0.428571428571429 0.974842767295597 0.546271338724169 3482.40899897756 0.847980585191589 1.04654353213728 1.09300473397848 1.0889807864995
Amur North Russian Far East 0.535714285714286 0.189189189189189 0.70873786407767 0.519548674888481 3914.41805771932 0.729779752462704 1.13186226070662 0.452408875422578 0.827577211138862
Amur Novosibirsk 0.686746987951807 0.407407407407407 0.929203539823009 0.521796132415601 5328.55530570826 0.866116409689747 1.07400924536088 0.618283940853972 0.830114938093468
Amur Pavlodar 0.925925925925926 1 1 0 5699.22531918964 1.00305202711598 1.03713184805564 0.967968098400398 0.947900467092097
Amur Pre-Polar Ural 0.772727272727273 0.0909090909090908 0.885057471264368 0.794148380355277 7500.73889224697 1.0871334380715 1.39424250848088 0.874715442780964 1.04056816936552
Amur Selenga 0.75 0.2 0.902439024390244 0.702439024390244 2340.85496719468 0.57497992799128 1.26558942827833 0.617870052004184 0.645397920987785
Amur Taimyr 0.75 0.230769230769231 0.901960784313725 0.671191553544495 4661.23243677954 1.05559861442563 1.29181648618521 0.793492669597823 0.998807846036708
Amur Tarbagatai 0.925 0.333333333333333 0.985294117647059 0.651960784313726 4951.8095040991 1.08576451365885 1.08217520948147 0.924269390462846 0.876054640776183
Amur Terskey-Alatau 0.876923076923077 0 0.984 0.984 5351.15901691581 0.677402346810905 0.735108586145083 0.847119027113799 0.848246014733019
Amur Tomsk-Tumen 0.6 0.4 0.903614457831325 0.503614457831325 5909.63459484652 0.87889008660916 1.15869483570572 0.447496607830859 0.74594410159981
Amur Ussury 0.529411764705882 0.6 0.934065934065934 0.334065934065934 880.506633949906 0.495771648303996 0.743950135766681 0.419907241931532 0.758086196287122
Amur Volga-Kama 0.797752808988764 0.230769230769231 0.964028776978417 0.733259546209186 8460.718888877 0.947869886004489 1.06450401339163 0.80604591865872 0.894514373145652
Amur Western Sayan 0.575757575757576 0.288888888888889 0.79874213836478 0.509853249475891 3715.12765760753 0.530410196977643 1.04377323427281 0.459669989949182 0.660548481772223
Armenia Chimkent 0.788235294117647 0.25 0.9625 0.7125 2890.11766542514 0.832724128729843 0.911179129287862 1.2033380920277 1.33997035696578
Armenia Dzhungarsky Alatau 0.797752808988764 0.272727272727273 0.927272727272727 0.654545454545455 3983.47156756187 0.757059307055876 0.904944671319232 1.01685656721528 1.05957567835165
Armenia East Balkhash 0.784313725490196 0.272727272727273 0.924170616113744 0.651443343386471 3900.60637869898 1.04365627562134 1.17369863418573 0.823610844740394 0.866465392759406
Armenia East Pamir 0.894736842105263 0.333333333333333 0.987951807228916 0.654618473895582 3201.41381470173 0.92344434553309 0.971778898054106 1.52190263568601 1.49577045384399
