"","i","j","S","OS","WN","ST","sp","hpcd","hpcdp","ppcd","ppcdp"
"75","Akmolinsk","Moyyunkum",0.842696629213483,0.2,0.980392156862745,0.780392156862745,395.542147025563,1.11253347764207,1.14867734097954,1.77154727036229,1.80911985297867
"76","Akmolinsk","Nakhichevan",0.672131147540984,0.6,0.947826086956522,0.347826086956522,2679.0891889154,0.943095898703938,1.0903193172344,0.518611430617112,0.800190489446339
"77","Akmolinsk","North Kyrgyzstan",0.626373626373626,0.454545454545455,0.931428571428571,0.476883116883117,774.397302028608,0.677011660047321,0.840000453519008,0.652911356040426,0.960913154987473
"78","Akmolinsk","North Russian Far East",0.915492957746479,1,1,0,10247.2895412061,0.968326301538723,0.898436083631521,0.848958694295338,0.860790871219315
"79","Akmolinsk","Novosibirsk",0.489795918367347,0.460869565217391,0.77037037037037,0.309500805152979,1270.55112384162,0.689178056239468,1.0655886367224,0.40098546627549,0.765745318719653
"80","Akmolinsk","Pavlodar",0.536231884057971,0.4375,0.859375,0.421875,895.609452935398,0.519122509841261,0.903101556376739,0.554268140603618,0.896227764632237
"81","Akmolinsk","Poland",0.707865168539326,0.395348837209302,0.91156462585034,0.516215788641038,5442.34912716329,1.1368264217274,1.3582861142717,1.15791221833724,1.42741931305824
"82","Akmolinsk","Pre-Polar Ural",0.728813559322034,0.384615384615385,0.938931297709924,0.554315913094539,1166.26659975108,1.017252021405,1.30220648064154,0.780889127188521,0.980238058844778
"83","Akmolinsk","Scotland",0.745454545454545,0.818181818181818,0.981981981981982,0.163800163800164,8074.3501134679,0.79740365909941,0.984123524177784,1.13807208741452,1.452822034814
"84","Akmolinsk","Selenga",0.841269841269841,1,1,0,4254.20718631266,0.914661483501139,0.900173044024192,0.495616710891497,0.580317565099362
"85","Akmolinsk","Slovakia",0.725,0.310344827586207,0.89247311827957,0.582128290693363,5329.25407530922,1.11913642259599,1.4569282281945,1.17513438318831,1.34579501416841
"86","Akmolinsk","Southwestern Azerbajan",0.833333333333333,0.428571428571429,0.972972972972973,0.544401544401544,2471.23814298092,1.20062867433214,1.36570384142664,1.13854030088815,1.17800190310122
"87","Akmolinsk","Sweden",0.76271186440678,0.2,0.936,0.736,5739.35434496884,0.781066392273634,0.963960726552584,0.965647420112036,1.15964921436038
"88","Akmolinsk","Syugaty",0.882352941176471,1,1,0,1188.98834727935,1.06444524933518,1.14281912945152,1.64455059998471,1.63526173908621
"89","Akmolinsk","Taimyr",0.777777777777778,0.636363636363636,0.972602739726027,0.336239103362391,1946.16910095864,1.00456015138976,1.12367795590237,0.933810051765612,1.13704075721554
"90","Akmolinsk","Tarbagatai",0.536842105263158,0.5,0.877777777777778,0.377777777777778,1641.82440239816,0.569392411131965,1.0969869350102,0.516612260711907,0.737043374536471
"91","Akmolinsk","Terskey-Alatau",0.625,0.8,0.976331360946746,0.176331360946746,1252.40514040231,0.747960030538488,0.866291369490268,0.496006092593702,0.790355881436524
"92","Akmolinsk","Tomsk-Tumen",0.621052631578947,0.5,0.877133105802048,0.377133105802048,738.862383952129,0.842468167309334,1.07391282769298,0.650075153373511,0.951540899295666
"93","Akmolinsk","Trans-Ili Alatau",0.723076923076923,0.636363636363636,0.973856209150327,0.33749257278669,992.662091790274,0.883090947044945,0.963719479006546,0.485745110211086,0.677309129284952
"94","Akmolinsk","Turkmenistan",0.918367346938775,0.5,0.993288590604027,0.493288590604027,1404.57441530916,1.1810994917319,1.14079537684475,1.96541078558044,1.79446310914963
"95","Akmolinsk","Tyva",0.89873417721519,NA,1,NA,2846.49576370456,1.0874761259589,0.964751547480775,1.36248451484494,1.42451633015495
"96","Akmolinsk","Ural Valley",0.441176470588235,0.424242424242424,0.772455089820359,0.348212665577935,1790.07639168665,0.640947918367066,1.69400945697345,0.93709559440093,1.62688937584044
"97","Akmolinsk","Ussury",0.909090909090909,NA,1,NA,7332.84434742704,1.05616979191639,0.987858414789202,0.726200830609133,0.756646692723003
"98","Akmolinsk","Volga-Kama",0.403846153846154,0.51937984496124,0.807453416149068,0.288073571187828,1878.17976671979,0.482732536249063,1.1896763827229,0.502802348534546,0.946104148145854
"99","Akmolinsk","Western Sayan",0.703703703703704,0.6,0.940886699507389,0.340886699507389,2878.91651642744,0.964106562983291,1.13732010286531,0.708875927719135,0.91553817809579
"100","Altai","Amur",0.796610169491526,0.555555555555556,0.975,0.419444444444445,4799.86703762876,0.951887266287724,1.10580364064255,0.629580206354678,0.738605071357561
"101","Altai","Amur-Bureya",0.846153846153846,0.5,0.987421383647799,0.487421383647799,5687.85145904345,1.01350993986689,1.15450787915967,0.653560836337177,0.681616130775065
"102","Altai","Armenia",0.882352941176471,0.333333333333333,0.982683982683983,0.649350649350649,4426.41903216734,1.31275022710651,1.23463616400596,0.927773630514769,0.991586353394078
"103","Altai","Central Yakutia",0.684210526315789,0.304347826086957,0.894039735099338,0.589691909012381,4945.1196141866,0.746072409018419,0.993295143529835,0.657610555786771,0.895348355629468
"104","Altai","Chimkent",0.875,NA,1,NA,1536.35068451266,1.21899148516682,1.09939967857087,0.919147938367359,1.13579783291327
"105","Altai","Dzhungarsky Alatau",0.617647058823529,0.2,0.765853658536585,0.565853658536585,443.95918030376,0.708213781122222,0.897382949765777,0.552213856439987,0.944230235445017
"106","Altai","East Balkhash",0.950617283950617,NA,1,NA,525.748612737403,1.68941432029031,1.55960450876924,1.39626334896077,1.30124933082417
"107","Altai","East Pamir",0.927272727272727,NA,1,NA,1241.44712759262,1.01757848779613,0.960267669995551,1.04800287018368,1.14982103521372
"108","Altai","Gissar",0.967741935483871,NA,1,NA,1769.0850057296,1.16695637761981,1.06344123888879,1.15810738514637,1.15735414457066
"109","Altai","Guriev",1,NA,1,NA,3355.93941909309,1.68160979893004,1.47478078622742,1.22648288650979,1.15005688760218
"110","Altai","Kabarda",0.806451612903226,0.4,0.965909090909091,0.565909090909091,4589.61433461081,1.1920274970765,1.36708048615767,0.861839771448433,0.945571358999724
"111","Altai","Kamchatka",0.80952380952381,0.5,0.983333333333333,0.483333333333333,8257.15064928682,0.989504563915881,1.22992963977643,0.844707864753488,0.928295681335366
"112","Altai","Khabarovsk",0.796610169491526,0.555555555555556,0.975,0.419444444444445,5655.72138055754,0.951887266287724,1.10580364064255,0.629580206354678,0.738605071357561
"113","Altai","Khasan",0.91304347826087,NA,1,NA,5161.24038460576,0.814667556213987,0.885922914092208,0.756606374059563,0.723389508856948
"114","Altai","Kostroma",0.441176470588235,0.3125,0.719148936170213,0.406648936170213,4583.11496263527,0.418255912939055,0.964902070700015,0.811522785311716,1.42808216976196
"115","Altai","Krasnojarsk",0.525423728813559,0.55,0.875,0.325,1430.32455315496,0.512835464793585,0.814226371559329,0.524206258661122,1.02500518344582
"116","Altai","Kurgan",0.415384615384615,0.296296296296296,0.643192488262911,0.346896191966614,2199.00189184598,0.450297846705834,0.988174282881176,0.568670441696911,1.16138223540052
"117","Altai","Kursk",0.642857142857143,0.176470588235294,0.83030303030303,0.653832442067736,5370.49104440271,0.666970588767344,0.953051361965899,0.939369142070224,1.33172759470321
"118","Altai","Kustanai",0.636363636363636,0.388888888888889,0.875,0.486111111111111,2212.38050955529,0.730565045282794,1.04557692251576,0.783549308628705,1.04828637927193
"119","Altai","Middle Ural",0.591836734693878,0.212121212121212,0.825503355704698,0.613382143583486,2360.39620173511,0.605302850901833,0.961036390458465,0.633985484147242,0.939310644140105
"120","Altai","Mongolia-Central Khangay",0.898305084745763,NA,1,NA,1629.20119119697,1.22457609950275,1.11594978984989,0.958210454227106,1.13501704917463
"121","Altai","Mongolia-NorthWestern Khangay",0.8,0.5,0.972093023255814,0.472093023255814,1319.58582495464,1.49057856423345,1.54284027197016,1.00174508540064,1.1683893585192
"122","Altai","Moscow",0.476923076923077,0.263157894736842,0.72,0.456842105263158,5204.83022292304,0.442937638171193,0.894111720027388,0.826165672882285,1.40004855980149
"123","Altai","Moyyunkum",1,NA,1,NA,1519.44821799856,1.63038314724183,1.36696173791474,1.48989559477268,1.3892647478462
"124","Altai","Nakhichevan",0.803921568627451,0.428571428571429,0.968503937007874,0.539932508436445,4406.29866664969,0.878533586396933,0.973237170988769,0.617353657527166,0.77796599119277
"125","Altai","North Kyrgyzstan",0.851851851851852,0.6,0.978609625668449,0.378609625668449,1100.36732994613,1.35536147209247,1.28749456318361,0.952166949287058,1.08858891777028
"126","Altai","North Russian Far East",0.672131147540984,0.142857142857143,0.962264150943396,0.819407008086253,8515.08398913299,0.742810260326181,1.1205004832075,0.818907941133655,0.928761445432073
"127","Altai","Novosibirsk",0.431818181818182,0.280487804878049,0.581560283687943,0.301072478809894,530.213493151366,0.517155385794302,1.24427158420964,0.719314375176278,1.21884710756034
"128","Altai","Pavlodar",0.76271186440678,0.666666666666667,0.985714285714286,0.319047619047619,899.465473524749,1.14803015651442,1.4546775503867,0.944525703068467,0.985071196663602
"129","Altai","Poland",0.620253164556962,0.230769230769231,0.836601307189542,0.605832076420312,7237.29249222961,0.726550306670827,1.06472644941216,0.850853291107893,1.12755354837875
"130","Altai","Pre-Polar Ural",0.591836734693878,0.212121212121212,0.818181818181818,0.606060606060606,2764.0404850739,0.937211612774424,1.48800631633331,0.770347569931529,1.14134422667017
"131","Altai","Scotland",0.644444444444444,0.375,0.91869918699187,0.54369918699187,9863.78733562123,0.532290439146631,0.748540665402809,0.574776082390033,0.884314031150324
"132","Altai","Selenga",0.735849056603774,0.25,0.91304347826087,0.66304347826087,2459.44183938533,1.03999064781756,1.26420710081452,0.74610443559611,0.972665416649075
"133","Altai","Slovakia",0.657142857142857,0.2,0.818181818181818,0.618181818181818,7122.83371374576,0.712707991574107,0.995925974451696,0.794542129993023,1.01687298765404
"134","Altai","Southwestern Azerbajan",0.903225806451613,1,1,0,4195.54314783053,1.39529880193782,1.40484202543355,1.10554924441119,1.11553613912131
"135","Altai","Sweden",0.673469387755102,0.368421052631579,0.912408759124088,0.543987706492509,7512.31138550339,0.587844658546735,0.747934585234788,0.773036071519765,1.22617347604477
"136","Altai","Syugaty",0.96551724137931,NA,1,NA,645.566846046713,1.49428228609243,1.34768247769946,1.33135171119966,1.35369244235345
"137","Altai","Taimyr",0.622641509433962,0.3,0.911392405063291,0.611392405063291,201.263693447242,0.647678246258237,1.07292153925607,0.91764231392514,1.10863128332745
"138","Altai","Tarbagatai",0.670588235294118,0.448275862068966,0.833333333333333,0.385057471264368,170.189131604495,1.30106717571566,1.6735686988692,0.879993615349633,1.15886795871695
"139","Altai","Terskey-Alatau",0.8,1,1,0,587.335224273668,1.16768811924718,1.11235964637927,0.768398552825353,1.04778999661063
"140","Altai","Tomsk-Tumen",0.317647058823529,0.375796178343949,0.678688524590164,0.302892346246215,1124.5553469793,0.260747304082057,1.03609341985663,0.560924748574166,1.07951859072796
"141","Altai","Trans-Ili Alatau",0.745454545454545,0.384615384615385,0.951515151515151,0.566899766899767,853.866746806346,0.652029225850627,0.685604793106762,0.72186713830781,1.13550287739671
"142","Altai","Turkmenistan",1,NA,1,NA,3078.61987776764,1.69618857318324,1.4221349648714,1.50164480288021,1.39451526511376
"143","Altai","Tyva",0.971014492753623,NA,1,NA,1051.81415598167,1.42800776207634,1.2523704437461,1.08953339612527,1.08019223766625
"144","Altai","Ural Valley",0.586206896551724,0.315789473684211,0.854748603351955,0.538959129667745,3585.07405096593,0.58701416745423,0.940397206930808,0.888857635120925,1.29007207334787
"145","Altai","Ussury",0.821428571428571,0.2,0.972789115646258,0.772789115646259,5539.91293424571,0.885185526671454,1.05011866762902,0.697999286339276,0.765813038142157
"146","Altai","Volga-Kama",0.553191489361702,0.245614035087719,0.74251497005988,0.496900934972161,3661.45667469559,0.644788335524034,1.16459140390667,0.727092914655781,0.991920252676749
"147","Altai","Western Sayan",0.549295774647887,0.3,0.73953488372093,0.43953488372093,1084.5612340718,0.795006124698511,1.23455909777562,0.639816300224525,1.1017324584354
"148","Amur","Amur-Bureya",0.446808510638298,0.185185185185185,0.572815533980582,0.387630348795397,903.301639747913,0.0888235428193486,0.364347810628127,0.640208034904297,1.11455187431577
"149","Amur","Armenia",0.925,NA,1,NA,9139.55524732224,1.06111109098009,0.98457715804689,1.14509733604162,1.11029325190677
"150","Amur-Bureya","Armenia",1,NA,1,NA,10042.9661131561,1.11860040200914,1.02856573077304,1.37013829366894,1.24154580210704
"151","Amur-Bureya","Central Yakutia",0.555555555555556,0.272727272727273,0.829787234042553,0.55705996131528,1096.92350521908,0.461003948617201,0.926906404362565,0.65742845541208,1.01696520961847
